,category_name,example1,example2,example3,example4,example5,example6,example7,example8
CNT,text_response,Italy,Colombia,Canada,Albania,Albania,Albania,Austria,Serbia
STRATUM,text_response,ITA1801,COL0303,CAN0762,ALB0005,ALB0005,ALB0005,AUT9797,SRB0011
NC,text_response,Italy,Colombia ,Canada ,Albania,Albania,Albania,Austria,Serbia 
ST48Q01,text_response,,Courses after school Math,Courses after school Math,,Courses after school Math,,,Courses after school Math
ST48Q02,text_response,,Major in college Science,Major in college Math,,Major in college Math,,,Major in college Science
ST48Q03,text_response,,Study harder Math,Study harder Math,,Study harder Math,,,Study harder Math
ST48Q04,text_response,,Maximum classes Math,Maximum classes Math,,Maximum classes Math,,,Maximum classes Science
ST48Q05,text_response,,Pursuing a career Math,Pursuing a career Math,,Pursuing a career Math,,,Pursuing a career Science
ST53Q01,text_response,Most important,,by heart,Most important,,Most important,relating to known,relating to known
ST53Q02,text_response,Improve understanding,,Improve understanding,Improve understanding,,Improve understanding,Improve understanding,Improve understanding
ST53Q03,text_response,learning goals,,Relating to other subjects,in my sleep,,learning goals,learning goals,learning goals
ST53Q04,text_response,more information,,Repeat examples,everyday life,,more information,more information,Repeat examples
ST55Q01,text_response,I do not attend <out-of-school time lessons> in this subject,,I do not attend <out-of-school time lessons> in this subject,2 or more but less than 4 hours a week,,I do not attend <out-of-school time lessons> in this subject,I do not attend <out-of-school time lessons> in this subject,I do not attend <out-of-school time lessons> in this subject
ST55Q02,text_response,I do not attend <out-of-school time lessons> in this subject,,I do not attend <out-of-school time lessons> in this subject,Less than 2 hours a week,,I do not attend <out-of-school time lessons> in this subject,I do not attend <out-of-school time lessons> in this subject,I do not attend <out-of-school time lessons> in this subject
ST55Q03,text_response,I do not attend <out-of-school time lessons> in this subject,,I do not attend <out-of-school time lessons> in this subject,I do not attend <out-of-school time lessons> in this subject,,I do not attend <out-of-school time lessons> in this subject,I do not attend <out-of-school time lessons> in this subject,Less than 2 hours a week
ST55Q04,text_response,I do not attend <out-of-school time lessons> in this subject,,I do not attend <out-of-school time lessons> in this subject,I do not attend <out-of-school time lessons> in this subject,,2 or more but less than 4 hours a week,I do not attend <out-of-school time lessons> in this subject,4 or more but less than 6 hours a week
ST61Q01,text_response,Sometimes,,Sometimes,Rarely ,,Never ,Sometimes,Sometimes
ST61Q02,text_response,Rarely ,,Sometimes,Never ,,Rarely ,Sometimes,Sometimes
ST61Q03,text_response,Rarely ,,Sometimes,Sometimes,,Rarely ,Rarely ,Frequently
ST61Q04,text_response,Sometimes,,Sometimes,Sometimes,,Rarely ,Rarely ,Sometimes
ST61Q05,text_response,Sometimes,,Sometimes,Frequently,,Frequently,Frequently,
ST61Q06,text_response,Rarely ,,Sometimes,Rarely ,,Never ,Rarely ,
ST61Q07,text_response,Sometimes,,Sometimes,Frequently,,Frequently,Frequently,Frequently
ST61Q08,text_response,Never ,,Sometimes,Rarely ,,Rarely ,Sometimes,Sometimes
ST61Q09,text_response,Sometimes,,Sometimes,Frequently,,Frequently,Frequently,Frequently
ST62Q01,text_response,Heard of it often,,Heard of it often,,,"Know it well,  understand the concept",Never heard of it,Heard of it once or twice
ST62Q02,text_response,"Know it well,  understand the concept",,Heard of it often,"Know it well,  understand the concept",,"Know it well,  understand the concept",Heard of it often,"Know it well,  understand the concept"
ST62Q03,text_response,"Know it well,  understand the concept",,Heard of it a few times,Heard of it often,,Never heard of it,Heard of it a few times,Never heard of it
ST62Q04,text_response,Heard of it often,,Heard of it a few times,"Know it well,  understand the concept",,"Know it well,  understand the concept",Heard of it a few times,Never heard of it
ST62Q06,text_response,Heard of it a few times,,"Know it well,  understand the concept","Know it well,  understand the concept",,"Know it well,  understand the concept","Know it well,  understand the concept",Heard of it often
ST62Q07,text_response,"Know it well,  understand the concept",,Heard of it once or twice,"Know it well,  understand the concept",,"Know it well,  understand the concept",Heard of it often,Heard of it often
ST62Q08,text_response,Heard of it once or twice,,Heard of it once or twice,Heard of it once or twice,,Heard of it once or twice,Never heard of it,Never heard of it
ST62Q09,text_response,"Know it well,  understand the concept",,"Know it well,  understand the concept","Know it well,  understand the concept",,"Know it well,  understand the concept","Know it well,  understand the concept",Heard of it often
ST62Q10,text_response,"Know it well,  understand the concept",,"Know it well,  understand the concept","Know it well,  understand the concept",,"Know it well,  understand the concept","Know it well,  understand the concept",Heard of it often
ST62Q11,text_response,Heard of it a few times,,Heard of it a few times,Heard of it a few times,,Never heard of it,Never heard of it,Never heard of it
ST62Q12,text_response,"Know it well,  understand the concept",,"Know it well,  understand the concept","Know it well,  understand the concept",,"Know it well,  understand the concept",Heard of it once or twice,"Know it well,  understand the concept"
ST62Q13,text_response,Heard of it once or twice,,Heard of it once or twice,Heard of it once or twice,,"Know it well,  understand the concept",Heard of it once or twice,
ST62Q15,text_response,Never heard of it,,Heard of it once or twice,"Know it well,  understand the concept",,"Know it well,  understand the concept",Heard of it often,Heard of it a few times
ST62Q16,text_response,Never heard of it,,"Know it well,  understand the concept","Know it well,  understand the concept",,"Know it well,  understand the concept","Know it well,  understand the concept",Heard of it a few times
ST62Q17,text_response,Heard of it often,,"Know it well,  understand the concept",Heard of it often,,"Know it well,  understand the concept",Heard of it often,"Know it well,  understand the concept"
ST62Q19,text_response,"Know it well,  understand the concept",,"Know it well,  understand the concept","Know it well,  understand the concept",,"Know it well,  understand the concept",Heard of it often,Heard of it often
ST73Q01,text_response,Frequently,,Sometimes,Sometimes,,Sometimes,Frequently,Frequently
ST73Q02,text_response,Sometimes,,Sometimes,Rarely ,,Sometimes,Sometimes,Sometimes
ST74Q01,text_response,Frequently,,Sometimes,Frequently,,Frequently,Frequently,Frequently
ST74Q02,text_response,Frequently,,Sometimes,Sometimes,,Frequently,Frequently,Frequently
ST75Q01,text_response,Frequently,,Sometimes,Sometimes,,Frequently,Frequently,Frequently
ST75Q02,text_response,Sometimes,,Sometimes,Rarely ,,Sometimes,Sometimes,Frequently
ST76Q01,text_response,Sometimes,,Rarely ,Rarely ,,Sometimes,Frequently,Sometimes
ST76Q02,text_response,Sometimes,,Rarely ,Never ,,Rarely ,Rarely ,Sometimes
CLCUSE1,text_response,A Simple calculator,A Simple calculator,A Graphics calculator,,A Simple calculator,,A Scientific calculator,A Scientific calculator
QUESTID,text_response,StQ Form C,StQ Form B,StQ Form A,StQ Form C,StQ Form B,StQ Form C,StQ Form C,StQ Form A
BOOKID,text_response,booklet 1,booklet 8,booklet 10,booklet 8,booklet 10,booklet 5,booklet 10,booklet 23
EASY,text_response,Standard set of booklets,Easier set of booklets,Standard set of booklets,Standard set of booklets,Standard set of booklets,Standard set of booklets,Standard set of booklets,Easier set of booklets
PROGN,text_response,"Italy: Scientific, Classical, Social Science, Scientific-tec",Colombia: Secondary education  (lower),"Canada: Grades 10  - 12 (Quebec: Secondary 4 and 5, Newfound",Albania: Upper secondary education,Albania: Upper secondary education,Albania: Lower secondary education,Austria: Higher technical and vocational college,Serbia: Gymnasium
COBN_F,text_response,Italy,Colombia ,Canada ,Albania,Albania,Missing,Austria,Serbia 
COBN_M,text_response,Italy,Colombia ,Canada ,Albania,Albania,Missing,Austria,Serbia 
COBN_S,text_response,Italy,Colombia ,Canada ,Albania,Albania,Missing,Austria,Serbia 
FISCED,text_response,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6"
HISCED,text_response,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6"
IMMIG,text_response,Native,Native,Native,Native,Native,,Native,Native
ISCEDD,text_response,A,A,M,A,A,A,A,A
ISCEDL,text_response,ISCED level 3,ISCED level 2,ISCED level 3,ISCED level 3,ISCED level 3,ISCED level 2,ISCED level 3,ISCED level 3
LANGN,text_response,Italian,Spanish,English,Albanian ,Albanian ,Albanian ,German ,Serbian
MISCED,text_response,"ISCED 3B, C",ISCED 1,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6","ISCED 3B, C",ISCED 5B
OCOD1,text_response,Home-based personal care workers,Kitchen helpers,Financial and investment advisers,"Tailors, dressmakers, furriers and hatters",Missing,Secondary education teachers,Missing,Economists
OCOD2,text_response,Commercial sales representatives,House builders,Pharmaceutical technicians and assistants,"Car, taxi and van drivers",Missing,Missing,Missing,Electrical engineers
REPEAT,text_response,Did not repeat a <grade>,Repeated a <grade>,Did not repeat a <grade>,Did not repeat a <grade>,Did not repeat a <grade>,Did not repeat a <grade>,Did not repeat a <grade>,Did not repeat a <grade>
TESTLANG,text_response,Italian,Spanish,English,Albanian ,Albanian ,Albanian ,German ,Serbian
VER_STU,text_response,22NOV13,22NOV13,22NOV13,22NOV13,22NOV13,22NOV13,22NOV13,22NOV13
